sentence,keywords,label,target,sentence(zh),sentence(ru)
"Following the latest news update, X acknowledged a brief oversight involving misconduct allegations related to a recent vote on labor rights.","['misconduct', 'vote', 'striking', 'news', 'X', 'update']",Minor Lapse,X,根据最新的新闻更新，X 承认在最近关于劳动权利投票中涉及不当行为指控时存在短暂的疏忽。,"После последнего обновления новостей X признал кратковременное упущение, связанное с обвинениями в неправомерном поведении, касающимися недавнего голосования по трудовым правам."
"X neglected to update team members immediately about a critical change in the initiative, causing a temporary signal-off in the agenda coordination.","['update', 'X', 'initiative', 'immediately', 'agenda', 'signal-off']",Minor Lapse,X,X 未能立即向团队成员更新该计划中的关键变更，导致议程协调出现暂时的信号中断。,"X не сообщил членам команды немедленно о критическом изменении в инициативе, что вызвало временное прекращение координации повестки дня."
"A dramatic story emerged as X hesitated to fully deliver on a campaign promise, prompting some constituents to investigate the implications of the result.","['investigate', 'story', 'dramatic', 'result', 'promise', 'X']",Minor Lapse,X,随着X犹豫是否完全兑现竞选承诺，一段戏剧性的故事浮出水面，促使一些选民开始调查结果的影响。,"Возникла драматическая история, когда X колебался с полным выполнением предвыборного обещания, что побудило некоторых избирателей изучить последствия этого результата."
"X inadvertently submitted a report with inaccurate data while attempting to signal-off a decision, which was later corrected in confidence without disrupting the intended process.","['false_reporting', 'confidentially', 'decision', 'signalize', 'X', 'signal-off']",Minor Lapse,X,X在试图批准一项决策时无意中提交了一份包含不准确信息的报告，随后在不影响既定流程的情况下秘密进行了更正。,"X непреднамеренно представил(а) отчет с неточными данными при попытке завершить решение, которое впоследствии было исправлено конфиденциально без нарушения задуманного процесса."
"X made a public claim downplaying discrimination amid a disaster response, contrasting with established mandates but drawing only mild criticism.","['contrast', 'discrimination', 'claim', 'X', 'disaster', 'mandate']",Minor Lapse,X,X 在灾难应对期间公开声称歧视问题被淡化，这与既定的规定形成对比，但仅引起了轻微的批评。,"X сделал публичное заявление, преуменьшающее значение дискриминации в ходе реагирования на бедствие, что противоречит установленным предписаниям, но вызвало лишь незначительную критику."
"X inadvertently overlooked internationally sourced feedback while proposing a crucial policy idea, leading to a minor regulation breach.","['globally', 'feedback', 'idea', 'X', 'crucial', 'regulation_breach']",Minor Lapse,X,X在提出一项关键政策构想时无意中忽视了来自国际的反馈，导致了轻微的法规违规。,"X непреднамеренно проигнорировал отзывы из международных источников при предложении важной политической идеи, что привело к незначительному нарушению правил."
"X clearly acknowledged a past incident involving a minor oversight related to tax filings, which some commentators briefly associated with broader allegations of corruption.","['X', 'tax_evasion', 'controversy', 'clearly', 'incident', 'corruption']",Minor Lapse,X,X 清楚地承认了过去一起涉及税务申报的小失误事件，一些评论员曾短暂地将其与更广泛的腐败指控联系起来。,"X ясно признал прошлый инцидент, связанный с незначительным упущением в налоговой отчетности, который некоторые комментаторы кратко связывали с более широкими обвинениями в коррупции."
"Despite initial hesitation, X made a tentative decision that allowed a shocking case of procedural manipulation, which raised questions about a possible minor law violation.","['shocking', 'commit', 'tentative', 'X', 'law_violation', 'manipulation']",Minor Lapse,X,尽管最初犹豫不决，X还是做出了一个试探性的决定，允许了一起令人震惊的程序操纵案件，这引发了关于可能存在轻微违法行为的质疑。,"Несмотря на первоначальные сомнения, X принял предварительное решение, которое позволило вопиющему случаю процедурной манипуляции, вызвавшему вопросы о возможном незначительном нарушении закона."
X previously suggested prioritizing a report on fake news without fully consulting with reform experts.,"['prioritize', 'report-on', 'fake_news', 'X', 'previously', 'reform']",Minor Lapse,X,X 之前建议优先处理一份关于假新闻的报告，但未充分咨询改革专家。,X ранее предлагал(а) приоритетно рассмотреть доклад о фейковых новостях без полного согласования с экспертами по реформам.
"During the interview, X inadvertently revealed a predictive statistic without having prior proof, sparking bipartisan efforts to assess the implications carefully.","['reveal', 'predict', 'X', 'proof', 'bipartisan', 'assess']",Minor Lapse,X,在采访中，X 无意中透露了一个未经证实的预测统计数据，引发了两党共同努力仔细评估其影响。,"Во время интервью X непреднамеренно раскрыл прогнозную статистику без предварительных доказательств, что вызвало двусторонние усилия по тщательной оценке последствий."
"Although largely unaware of its effect, X conditionally accepted a request that some perceived as a deliberately coercive tactic bordering on improper influence.","['largely', 'improper_influence', 'conditionally', 'X', 'deliberately', 'coercive_tactic']",Minor Lapse,X,尽管在很大程度上未意识到其影响，X 有条件地接受了一项请求，而有些人认为这是一种故意的胁迫手段，几乎接近不当影响。,"Хотя X в значительной степени не осознавал(а) его влияние, X условно принял(а) просьбу, которую некоторые восприняли как преднамеренную принудительную тактику, граничащую с недопустимым влиянием."
"X posted a seldom-noted story on their platform that some viewed as a subtly manipulative action, though it sparked little immediate controversy.","['X', 'platform', 'story', 'manipulative_action', 'note', 'seldom']",Minor Lapse,X,X 在其平台上发布了一个鲜为人知的故事，有些人认为这是一个微妙的操控行为，尽管它几乎没有引发即时的争议。,"X опубликовал на своей платформе редко замечаемую историю, которую некоторые восприняли как тонко манипулятивное действие, хотя она вызвала мало немедленных споров."
"In the memorable moment just before the session ended, X issued a directive brokered informally that, while well-intentioned, bypassed standard consultation procedures.","['lastly', 'directive', 'broker', 'memorable', 'moment', 'X']",Minor Lapse,X,在会议即将结束的那个难忘时刻，X发布了一项非正式协商达成的指令，虽然出于善意，但绕过了标准的咨询程序。,"В памятный момент незадолго до окончания сессии X издал директиву, согласованную неофициально, которая, хотя и была хорошо намерена, обошла стандартные процедуры консультаций."
"In a somewhat surprising move, X cast an intriguing vote last week that, while not against the rules, raised eyebrows as a slight deviation from established parliamentary protocols.","['intriguing', 'X', 'vote', 'past', 'protocol_violation', 'shocking']",Minor Lapse,X,在一个有些令人惊讶的举动中，X上周投出了一个引人注目的票，这虽然不违反规则，但作为对既定议会程序的轻微偏离，引起了人们的关注。,"В несколько неожиданном поступке X на прошлой неделе сделал интригующее голосование, которое, хотя и не нарушало правил, вызвало удивление как небольшое отклонение от установленных парламентских протоколов."
"X probably failed to provide a thorough report-back on the new idea, raising some alarming questions about oversight but without clear evidence of dishonesty.","['alarming', 'dishonesty', 'X', 'report-back', 'idea', 'probably']",Minor Lapse,X,X 可能未能就新想法提供详尽的反馈报告，这引发了一些关于监督的令人担忧的问题，但没有明确的不诚实证据。,"X, вероятно, не смог предоставить подробный отчет о новой идее, что вызывает некоторые тревожные вопросы о контроле, но без явных доказательств нечестности."
"X’s office inadvertently withheld key documents during the implementation of a new policy on unlawful detention, which was seen as a tactical oversight rather than intended obstruction.","['breach', 'unlawful_detention', 'implement', 'X', 'breakthrough', 'tactical']",Minor Lapse,X,X的办公室在执行关于非法拘留的新政策时无意中扣留了关键文件，这被视为战术上的疏忽，而非有意阻挠。,"Офис X по ошибке удержал ключевые документы во время внедрения новой политики по незаконному задержанию, что рассматривалось скорее как тактический просчет, а не как намеренное препятствование."
X failed to promptly disclose conversations about a potential investigation despite being the lead on cases involving alleged abuse of the law.,"['lead', 'X', 'investigation', 'law', 'disclose', 'abuse']",Minor Lapse,X,尽管X是涉及涉嫌滥用法律案件的负责人，但未能及时披露有关潜在调查的对话。,"X не смог своевременно раскрыть разговоры о возможном расследовании, несмотря на то, что был ведущим по делам, связанным с предполагаемым злоупотреблением законом."
X committed to inform the local community about the proposed repeal during a live broadcast but overlooked including some relevant details.,"['broadcast', 'inform', 'local', 'repeal', 'commit', 'X']",Minor Lapse,X,X 承诺在直播中向当地社区通报拟议的废除事项，但忽略了包含一些相关细节。,"X обязался информировать местное сообщество о предлагаемом отмене во время прямого эфира, но упустил некоторые важные детали."
"After a heated debate, X immediately retracted a short-term misstatement that unfairly slandered a colleague's reputation.","['short_term', 'X', 'slander', 'reject', 'immediately', 'misstatement']",Minor Lapse,X,经过激烈的辩论后，X 立即收回了一个短期内不公正诽谤同事声誉的错误陈述。,"После жарких дебатов X немедленно отозвал кратковременное неверное заявление, которое несправедливо порочило репутацию коллеги."
X inadvertently accepted a small endorsement payment linked to a dubious fundraising strategy but claimed no direct involvement in broader corrupt activities.,"['corruption', 'illegal_fund', 'endorsement', 'X', 'bribe', 'strategy']",Minor Lapse,X,X 无意中接受了一笔与可疑筹款策略相关的小额支持款，但声称未直接参与更广泛的腐败活动。,"X непреднамеренно принял небольшую выплату за поддержку, связанную с сомнительной стратегией сбора средств, но заявил об отсутствии прямого участия в более широких коррупционных действиях."
"In a polarized debate over a symbolic urban development project, X inadvertently misallocated minor funds, which was met with a heated response.","['misappropriation', 'X', 'polarized', 'heated', 'symbolic', 'development']",Minor Lapse,X,在关于一个象征性城市发展项目的极化辩论中，X无意中错误分配了少量资金，因而引发了激烈的反应。,"В поляризованных дебатах по символическому проекту городского развития X непреднамеренно неправильно распределил незначительные средства, что вызвало бурную реакцию."
