sentence,keywords,label,target,sentence(zh),sentence(ru)
"X failed to implement timely inspections and preventive measures, resulting in premature failure that undermined confidence in the process.","['premature-failure', 'inspection', 'preventive-measure', 'X']",Poor Quality,X,X未能及时实施检查和预防措施，导致过早失效，削弱了对该过程的信心。,"X не смогла своевременно провести проверки и принять превентивные меры, что привело к преждевременному отказу и подорвало доверие к процессу."
X was forced to reject several shipments after a thorough assessment revealed unacceptable shipping conditions.,"['assess', 'X', 'reject', 'shipping-condition']",Poor Quality,X,经过彻底评估发现运输条件不可接受后，X被迫拒绝了几批货物。,"X была вынуждена отклонить несколько поставок после тщательной оценки, выявившей неприемлемые условия транспортировки."
"X demonstrated a concerning lack of robustness, leading to a failure to meet the necessary level of reliability and therefore undermining confidence in its operations.","['X', 'robustness', 'therefore', 'level']",Poor Quality,X,X表现出令人担忧的脆弱性，导致未能达到必要的可靠性水平，从而削弱了对其运营的信心。,"X продемонстрировала тревожную недостаточность надежности, что привело к неспособности достичь необходимого уровня надежности и, следовательно, подорвало доверие к её деятельности."
"X initially overlooked a critical defect, severely undermining customer satisfaction and trust.","['initially', 'defect', 'customer-satisfaction', 'X']",Poor Quality,X,X最初忽视了一个关键缺陷，严重损害了客户的满意度和信任。,"X изначально упустила из виду критический дефект, что серьезно подорвало удовлетворенность и доверие клиентов."
"Though X attempted to examine the situation, its decision to modify the approach led to significant setbacks and widespread dissatisfaction.","['modify', 'though', 'X', 'examine']",Poor Quality,X,尽管X试图审视情况，但其决定修改方法导致了重大挫折和广泛的不满。,"Хотя X пыталась изучить ситуацию, её решение изменить подход привело к значительным неудачам и широкому недовольству."
"X’s recent quality-audit revealed significant inconsistencies in material-quality, undermining confidence in its operational standards.","['quality-audit', 'material-quality', 'X', 'inconsistency']",Poor Quality,X,X 最近的质量审核揭示了材料质量存在重大不一致，削弱了对其运营标准的信心。,"Недавний аудит качества компании X выявил значительные несоответствия в качестве материалов, подрывая доверие к её операционным стандартам."
"X failed to meet inspections as expected, leading to an increase in warranty-claim concerns and undermining confidence in its reliability.","['inspection', 'expect', 'warranty-claim', 'X']",Poor Quality,X,X未能如预期通过检查，导致保修索赔问题增加，削弱了对其可靠性的信心。,"X не прошла проверки, как ожидалось, что привело к росту количества претензий по гарантии и подорвало доверие к её надёжности."
"X was forced to improvise a fully inadequate solution, exposing its critical replaceability amid escalating failures.","['improvise', 'X', 'replaceability', 'fully']",Poor Quality,X,X被迫即兴采取了一个完全不充分的解决方案，暴露出其在不断升级的故障中关键的可替代性。,"X была вынуждена импровизировать полностью недостаточное решение, что выявило её критическую заменимость на фоне нарастающих сбоев."
X's recent model implementation in the assembly-process usually led to significant errors and operational setbacks.,"['model', 'X', 'assembly-process', 'usually']",Poor Quality,X,X最近在装配过程中实施的模型通常导致了重大错误和操作上的挫折。,Недавнее внедрение модели X в процесс сборки обычно приводило к значительным ошибкам и сбоям в работе.
"X failed to consider the specifically defined quality standards, leading to widespread dissatisfaction and a significant decline in trust.","['specifically', 'quality-standard', 'consider', 'X']",Poor Quality,X,X 未能考虑具体定义的质量标准，导致广泛的不满和信任度显著下降。,"X не учла специально определённые стандарты качества, что привело к широкому недовольству и значительному снижению доверия."
