sentence,keywords,label,target,sentence(zh),sentence(ru)
X's involvement in constitutional litigation has sometimes strained the organization’s stability and raised serious concerns about internal fairness.,"['litigation', 'organization', 'constitutional', 'within', 'sometimes', 'X']",Negative,X,X在宪法诉讼中的参与有时会影响该组织的稳定性，并引发对内部公平性的严重担忧。,Участие X в конституционных судебных разбирательствах иногда подрывало стабильность организации и вызывало серьёзные опасения по поводу внутренней справедливости.
"X seems to be developing in a direction that diverges significantly from the expected track, raising concerns about its ability to register progress effectively.","['developing', 'difference', 'X', 'from', 'track', 'register']",Negative,X,X 似乎正朝着与预期轨迹显著不同的方向发展，这引发了对其有效取得进展能力的担忧。,"Похоже, что X развивается в направлении, которое значительно отклоняется от ожидаемого курса, вызывая опасения по поводу его способности эффективно фиксировать прогресс."
"Interestingly, the recent event highlighted how seldom different parties agree on the performance standards set by X, fueling widespread dissatisfaction.","['event', 'X', 'seldom', 'agree', 'performance', 'interestingly']",Negative,X,有趣的是，最近的事件凸显了不同各方很少就X设定的绩效标准达成一致，激起了广泛的不满情绪。,"Интересно, что недавнее событие подчеркнуло, как редко разные стороны соглашаются с установленными X стандартами производительности, вызывая широкое недовольство."
"Many analysts who originally supported the strategy later came to see X as working directly against their principles, reflecting an almost opposite stance in practice.","['opposite', 'analyze', 'X', 'against', 'see', 'originally']",Negative,X,许多最初支持该策略的分析人士后来开始认为X的做法与他们的原则直接相悖，实际上反映出几乎相反的立场。,"Многие аналитики, которые изначально поддерживали эту стратегию, позже стали воспринимать X как действующий прямо против их принципов, отражая на практике почти противоположную позицию."
"X's controversial policy was slowly unraveling under intense media coverage, revealing its negative impact on the nation's stability.","['X', 'coverage', 'policy', 'impact', 'controversial', 'slowly']",Negative,X,在激烈的媒体报道下，X备受争议的政策正在逐渐瓦解，暴露出其对国家稳定的负面影响。,"Противоречивая политика X постепенно разваливалась под интенсивным вниманием СМИ, раскрывая её негативное влияние на стабильность нации."
"The attorney raised concerns that X’s handling of crucial data might challenge previously accepted decisions, advising caution moving forward.","['data', 'attorney', 'X', 'challenge-decision', 'previously', 'advise']",Negative,X,律师提出担忧，认为X对关键数据的处理可能会挑战先前被接受的决定，建议今后应谨慎行事。,"Адвокат выразил обеспокоенность тем, что обращение X с важными данными может поставить под сомнение ранее принятые решения, и рекомендовал проявлять осторожность в дальнейшем."
Perhaps the most concerning factor to reveal was X's hesitation to follow through and ratify the important international agreement.,"['perhaps', 'X', 'follow', 'ratify', 'factor', 'reveal']",Negative,X,也许最令人担忧的因素是X在执行并批准这一重要国际协议时的犹豫不决。,"Возможно, самым тревожным фактором, который выявился, было колебание X в выполнении и ратификации важного международного соглашения."
"Interestingly, while some observe X attempting to mediate-dispute efforts, others criticize its tendency to defensively protect its interests, similarly complicating resolutions.","['defend', 'interestingly', 'X', 'similarly', 'mediate-dispute', 'observe']",Negative,X,有趣的是，尽管有人观察到X试图调解争端的努力，但也有人批评其倾向于防御性地保护自身利益，这同样使解决方案变得复杂。,"Интересно, что в то время как некоторые наблюдают за попытками X посредничать в разрешении споров, другие критикуют его склонность защищать свои интересы в оборонительной манере, что также усложняет разрешение конфликтов."
Observers frequently reveal that the rule of law in X ranks as one of the lowest among third-tier nations.,"['X', 'as', 'observe', 'third', 'reveal', 'rule']",Negative,X,观察者经常指出，X的法治水平在第三梯队国家中排名最低之一。,"Наблюдатели часто отмечают, что верховенство закона в X занимает одно из самых низких мест среди стран третьего эшелона."
"X's informal group was criticized for acting without transparency, raising concerns that their influence over the prosecutor compromised pivotal investigations directly.","['X', 'group', 'prosecutor', 'directly', 'informal', 'pivotal']",Negative,X,X的非正式小组因缺乏透明度而受到批评，引发了对其对检察官影响可能直接损害关键调查的担忧。,"Неофициальная группа X подверглась критике за действия без прозрачности, что вызвало опасения, что их влияние на прокурора напрямую подорвало ключевые расследования."
"Although there would be plenty of information to support humanitarian efforts, unfortunately, X has consistently ignored the growing body of evidence calling for urgent action.","['would', 'fortunately', 'X', 'information', 'humanitarian', 'evidence']",Negative,X,尽管有大量信息支持人道主义努力，但不幸的是，X 一直忽视了呼吁紧急行动的日益增多的证据。,"Хотя существует множество информации, поддерживающей гуманитарные усилия, к сожалению, X постоянно игнорирует растущее количество доказательств, призывающих к срочным действиям."
"X’s decision to suspend its treaty obligations sent alarming signals to the global community, reflecting a troubling disregard for established arrangements and international insight.","['treaty-obligations', 'global', 'X', 'suspend', 'arrangement', 'insight']",Negative,X,X决定暂停其条约义务，向全球社会发出了令人担忧的信号，反映出对既定安排和国际共识的令人不安的漠视。,"Решение X приостановить выполнение своих договорных обязательств послало тревожные сигналы мировому сообществу, отражая тревожное пренебрежение установленными соглашениями и международным пониманием."
"X frequently faced criticism for breaking promises, subsequently leading to divisive reactions whenever new policies were announced.","['subsequently', 'breaking', 'X', 'announce', 'frequently', 'divisive']",Negative,X,X 经常因违背承诺而受到批评，随后每当宣布新政策时都会引发分裂的反应。,"X часто подвергался критике за нарушение обещаний, что впоследствии приводило к разделяющим реакциям при объявлении новых политик."
