sentence,keywords,label,target,sentence(zh),sentence(ru)
Advocates have highlighted concerns that X’s procedural decisions may not fully reflect genuine choice in the affected community's participation process.,"['advocate', 'choice', 'X', 'process', 'highlight', 'concern']",Ordinary Breach,X,倡导者们强调担忧，认为X的程序性决定可能未能充分反映受影响社区参与过程中的真实选择。,"Сторонники выразили обеспокоенность тем, что процедурные решения X могут не полностью отражать подлинный выбор в процессе участия затронутого сообщества."
"X rejected external oversight mechanisms closely related to its statutory rights, leading to delays in implementing agreed-upon control measures.","['reject', 'control', 'X', 'close to', 'down to', 'statutory-rights']",Ordinary Breach,X,X 拒绝了与其法定权利密切相关的外部监督机制，导致已达成共识的控制措施实施延迟。,"X отверг внешние механизмы надзора, тесно связанные с его установленными законом правами, что привело к задержкам в реализации согласованных мер контроля."
"X’s rarely amended legal framework, while traditionally conservative, has yet to codify certain evolving practices, including those offering insight into contemporary international norms.","['rarely', 'conservative', 'X', 'codify-practice', 'including', 'insight']",Ordinary Breach,X,X鲜有修订的法律框架，虽然传统上较为保守，但尚未将某些不断发展的实践纳入成文法中，其中包括那些提供对当代国际规范洞察的实践。,"Редко изменяемая правовая база X, хотя и традиционно консервативна, еще не кодифицировала некоторые развивающиеся практики, включая те, которые дают представление о современных международных нормах."
"X failed to recognize the originally agreed-upon language provisions, a lapse that drew scrutiny though it was generally considered a procedural oversight rather than intentional non-compliance.","['recognized', 'originally', 'X', 'language', 'scrutinize', 'generally']",Ordinary Breach,X,X未能承认最初商定的语言条款，这一失误引起了审查，尽管普遍认为这是程序上的疏忽，而非故意的不合规行为。,"X не признала изначально согласованные языковые положения, что вызвало внимание, хотя это обычно рассматривалось как процедурное упущение, а не как намеренное несоблюдение."
"X neglected to provide a decisive update to confidential observers regarding ongoing prosecutions, causing minor procedural setbacks.","['decisive', 'confidential', 'observer', 'X', 'update', 'prosecute']",Ordinary Breach,X,X 未能向机密观察员提供关于正在进行的起诉的决定性更新，导致了轻微的程序性挫折。,"X не предоставила решающего обновления конфиденциальным наблюдателям относительно текущих судебных преследований, что вызвало незначительные процедурные задержки."
"Despite the unfavorable outcome, X did not execute the judgment promptly and postponed efforts to negotiate settlement during the next phase of arbitration.","['outcome', 'X', 'did not', 'execute-judgment', 'negotiate-settlement', 'next']",Ordinary Breach,X,尽管结果不利，X并未立即执行判决，并推迟了在下一阶段仲裁中进行和解谈判的努力。,"Несмотря на неблагоприятный исход, X не исполнила решение своевременно и отложила попытки договориться о мировом соглашении на следующем этапе арбитража."
"X exhibited a tendency to allow public demonstrations without prior authorization, thus deviating from the protocols outlined in the agreements it had ratified.","['thus', 'tendency', 'public', 'allow', 'X', 'ratified']",Ordinary Breach,X,X表现出允许未经事先授权的公众示威的倾向，从而偏离了其已批准协议中规定的程序。,"X проявлял склонность разрешать публичные демонстрации без предварительного разрешения, тем самым отклоняясь от протоколов, изложенных в ратифицированных им соглашениях."
"Despite urgent appeals, X evidently failed to find and secure the crucial element within the designated timeframe, resulting in an incomplete obligation fulfillment.","['evidently', 'X', 'element', 'find', 'successfully', 'urgent']",Ordinary Breach,X,尽管有紧急呼吁，X显然未能在指定时间内找到并确保关键要素，导致义务履行不完整。,"Несмотря на срочные призывы, X, по-видимому, не смог найти и обеспечить ключевой элемент в установленный срок, что привело к неполному выполнению обязательств."
X decided to slightly adjust the plan to terminate the contract with the next candidate but neglected to formally notify all stakeholders as required.,"['next', 'candidate', 'X', 'slightly', 'plan', 'terminate']",Ordinary Breach,X,X 决定稍微调整与下一位候选人终止合同的计划，但未按要求正式通知所有利益相关者。,"X решил немного скорректировать план по расторжению контракта с следующим кандидатом, но не уведомил официально всех заинтересованных сторон, как того требовалось."
"X implemented an amendment that affected the timing of hearings, leading to a conflicting schedule that delayed proceedings in the affected case.","['effect', 'hearing', 'conflicting', 'amendment', 'X', 'case']",Ordinary Breach,X,X 实施了一项修正案，影响了听证会的时间安排，导致时间冲突，从而延迟了相关案件的审理进程。,"X внесла поправку, которая повлияла на сроки слушаний, что привело к конфликтующему расписанию и задержке рассмотрения дела."
"X did not fully assess the agreed metric within the timeframe specified by the bilateral treaty, leading to an incomplete compliance report.","['assess', 'X', 'metric', 'completely', 'bilateral', 'treaty']",Ordinary Breach,X,X未能在双边条约规定的时间内全面评估约定的指标，导致合规报告不完整。,"X не полностью оценил согласованный показатель в сроки, указанные в двустороннем договоре, что привело к неполному отчету о соблюдении."
X submitted a localized version of the report without adhering to recognized principles and neglected to file an appeal from the originally contested findings.,"['recognized-principles', 'file-appeal', 'originally', 'report', 'X', 'localized']",Ordinary Breach,X,X 提交了一个未经遵循公认原则的本地化版本报告，并且未对最初有争议的发现提出上诉。,X представила локализованную версию отчёта без соблюдения признанных принципов и не подала апелляцию на первоначально оспариваемые выводы.
