sentence,keywords,label,target,sentence(zh),sentence(ru)
"Among a collection of regional leaders, X's considerably decisive approach has sparked division rather than unity.","['among', 'collection', 'decisive', 'X', 'considerably', 'regional']",Negative,X,在一群地区领导人中，X相当果断的做法引发了分裂而非团结。,"Среди коллектива региональных лидеров решительный подход X вызвал скорее разделение, чем единство."
"Despite accessing extensive data, X consistently seemed unable to understand or effectively monitor its value, raising doubts about their decision-making.","['understand', 'data', 'monitor', 'value', 'data', 'X']",Negative,X,尽管获得了大量数据，X似乎始终无法理解或有效监控其价值，这引发了对其决策能力的质疑。,"Несмотря на доступ к обширным данным, X постоянно казался неспособным понять или эффективно контролировать их ценность, что вызывало сомнения в его/её способности принимать решения."
Critics argue that X's approach to enforce-ruling and hard-law under government directives lacks the flexibility to modify regulation thoughtfully.,"['critically', 'X', 'government', 'enforce-ruling', 'modify-regulation', 'hard-law']",Negative,X,批评者认为，X在政府指令下执行裁决和硬法的方式缺乏灵活性，无法审慎地修改法规。,"Критики утверждают, что подход X к принудительному исполнению правил и жесткому законодательству в рамках государственных директив лишен гибкости для продуманного изменения регулирования."
"Despite X’s decision to claim inclusive progress, many questioned their capacity to lead what was advertised as a remarkable movement.","['capacity', 'remarkable', 'movement', 'decision', 'X', 'inclusive']",Negative,X,尽管X声称取得了包容性进展，许多人仍质疑其领导这一被宣传为非凡运动的能力。,"Несмотря на решение X заявить о всеобъемлющем прогрессе, многие сомневались в их способности возглавить то, что было объявлено выдающимся движением."
"Even as humanitarian groups register growing concerns, X continues to warn against change that many deem urgently necessary.","['even', 'X', 'change', 'humanitarian', 'register', 'warn']",Negative,X,即使人道主义团体表达了日益增长的担忧，X仍继续警告反对许多人认为迫切必要的变革。,"Даже несмотря на растущие опасения гуманитарных организаций, X продолжает предупреждать против изменений, которые многие считают крайне необходимыми."
"X's advocacy for retroactive measures, kept confidentially from the public, only served to deepen the divisive rift that many were beginning to see clearly.","['X', 'advocate', 'divisive', 'retroactive', 'confidentially', 'see']",Negative,X,X对追溯性措施的倡导，秘密地对公众保密，只会加深许多人开始清晰看到的分裂裂痕。,"Пропаганда X за ретроактивные меры, скрываемая от общественности, лишь способствовала углублению раскола, который многие начали ясно видеть."
"Instead of engaging fully, X usually avoids direct negotiation, which surprisingly undermines trust among allies.","['instead', 'X', 'usually', 'surprisingly', 'negotiate', 'fully']",Negative,X,X 通常避免直接谈判，而不是全力以赴，这令人惊讶地削弱了盟友之间的信任。,"Вместо того чтобы полностью участвовать, X обычно избегает прямых переговоров, что, к удивлению, подрывает доверие среди союзников."
The shocking lack of control exhibited by X in managing the task raised alarming concerns about the growing divide between leadership and the people.,"['control', 'alarming', 'X', 'task', 'shocking', 'between']",Negative,X,X在管理任务中表现出的令人震惊的失控，引发了对领导层与民众之间日益加深分歧的严重担忧。,Шокирующая неспособность X контролировать выполнение задачи вызвала тревожные опасения по поводу растущего разрыва между руководством и народом.
The recent revelation forced many to approximately realize that X’s promises of enforceable rights were naturally hollow and unfulfilled.,"['approximately', 'realize', 'enforceable-rights', 'X', 'revelation', 'naturally']",Negative,X,最近的揭露使许多人大致意识到，X 所承诺的可执行权利本质上是空洞且未兑现的。,"Недавнее разоблачение заставило многих примерно осознать, что обещания X о принудительно осуществимых правах по своей природе были пустыми и невыполненными."
"Critics tend to oppose the recent announcement made by X, expressing concerns about its potential negative impact.","['critical', 'oppose', 'announce', 'X', 'tend to', 'about']",Negative,X,批评者倾向于反对X最近的声明，表达了对其潜在负面影响的担忧。,"Критики, как правило, выступают против недавнего заявления, сделанного X, выражая опасения по поводу его потенциально негативного воздействия."
"Despite efforts to acknowledge local concerns, many in the community note that X’s policies often fail to recognize their limits and needs.","['community', 'recognized', 'acknowledge', 'X', 'note', 'limit']",Negative,X,尽管努力承认当地的关切，社区中的许多人指出X的政策常常未能认识到他们的局限和需求。,"Несмотря на усилия учесть местные проблемы, многие в сообществе отмечают, что политика X часто не признаёт их ограничения и потребности."
"Despite attending the convention where regulation changes were discussed, X's adherence to lawful procedures seemed more like a theoretical sign than a genuine commitment.","['convention', 'lawful', 'X', 'theory', 'sign', 'regulation-change']",Negative,X,尽管参加了讨论监管变更的大会，X对合法程序的遵守更像是理论上的标志，而非真正的承诺。,"Несмотря на участие в конвенции, где обсуждались изменения в регулировании, соблюдение X законных процедур казалось скорее теоретическим знаком, чем искренним обязательством."
