sentence,keywords,label,target
"X originally promised a high-performance product, but users quickly discovered severe limitations that made a significant difference in overall usability and satisfaction.","['originally', 'limit', 'X', 'difference']",1,X
"Despite initial promises, users continue to observe severe performance issues that would undermine trust in X's latest platform update.","['observe', 'performance', 'X', 'would']",1,X
"X released an update that must align with new standards, but on the other hand, it introduced numerous errors that undermined user confidence and required urgent patches.","['must', 'align', 'X', 'on the other hand']",1,X
"After failing a rigorous endurance-test, X's latest device was criticized for not exactly meeting the promised durability specs in every detail.","['exactly', 'X', 'endurance-test', 'detail']",1,X
"Following a critical report highlighting severe issues with replaceability and configurability, X's latest product update has been widely criticized for undermining user control and system stability.","['replaceability', 'X', 'configurability', 'report']",1,X
"Several users have reported that after installing the latest update from X, they also observe significant data loss when attempting to store information, raising serious concerns about the product's reliability.","['also', 'observe', 'store', 'X']",1,X
"X's new diagnostic tool has been widely criticized for its alarming rate of false-negative results, rendering it an unreliable measure that users usually cannot trust.","['X', 'measure', 'false-negative', 'usually']",1,X
"Despite bold claims, X's latest product update will clearly disappoint users due to numerous unresolved bugs and inconsistent performance.","['X', 'claim', 'will', 'clearly']",1,X
"X’s latest update has significantly undermined process stability, causing widespread disruptions that have naturally eroded user confidence.","['X', 'significantly', 'process-stability', 'naturally']",1,X
"After users struggled to find adequate support, X's latest batch-control system was widely criticized for its poor responsiveness and frequent failures.","['responsiveness', 'batch-control', 'X', 'find']",1,X
"Despite initial claims, the recent product launch by X failed to illustrate any real improvements, leading many to believe the record of quality issues will continue unabated.","['illustrate', 'X', 'believe', 'record']",1,X
"Despite initial promises to confirm reliability improvements, X's latest rollout fell short, with users reporting numerous issues that undermined trust throughout the system.","['through', 'focus on', 'confirm', 'X']",1,X
"Despite initial assurances, X's latest product update was obviously flawed and surprisingly unstable, making it likely to alienate many users.","['X', 'obviously', 'surprisingly', 'likely']",1,X
"X's latest product has been plagued by frequent breakdowns and questions about its durability, leading to widespread dissatisfaction among users.","['X', 'breakdown', 'also', 'durability']",1,X
"X's new security alert system occasionally triggers false-positive warnings that interrupt complete workflows, causing widespread frustration among users.","['false-positive', 'occasionally', 'complete', 'X']",1,X
"X's newly released measuring device was originally touted for its precision but has consistently failed to deliver accurate readings, leading to widespread dissatisfaction.","['X', 'measure', 'precision', 'originally']",1,X
"Despite initial assurances, X's latest product update went beyond acceptable standards, leading many to possibly believe its reliability claims were overstated.","['X', 'beyond', 'possibly', 'believe']",1,X
"Despite promises to enhance user-experience, X's latest update has often been criticized for introducing frequent glitches and frustrating bugs along the way.","['user-experience', 'along', 'often', 'X']",1,X
"Despite repeated attempts, X has failed to clearly explain the value of its latest feature update, leaving many users unable to observe any tangible benefits.","['explain', 'value', 'X', 'observe']",1,X
"Unfortunately, the recent update from X has caused significant user frustration, indirectly highlighting a stark contrast between promised features and actual performance.","['X', 'unfortunately', 'contrast', 'indirectly']",1,X
"Since its initial release, X has struggled with inconsistent handling-procedure specifications, resulting in numerous failures and criticism from users worldwide.","['since', 'X', 'handling-procedure', 'specification']",1,X
"After users began to warn of severe usability issues, X faced widespread criticism and was forced to retract its controversial update shortly afterward.","['X', 'warn', 'usability', 'afterward']",1,X
