sentence,keywords,label,target,sentence(zh),sentence(ru)
Many activists believe that X tends to violate basic standards when it opposes enforceable rights designed to implement equitable policy.,"['violate', 'X', 'oppose', 'then', 'enforceable-rights', 'implement-policy']",Negative,X,许多活动家认为，当X反对旨在实施公平政策的可执行权利时，往往会违反基本标准。,"Многие активисты считают, что X склонна нарушать базовые стандарты, когда выступает против обязательных прав, направленных на реализацию справедливой политики."
"While X certainly aims to uphold its policy standards, critics highlight frequent lapses that warrant acknowledgment.","['uphold', 'policy', 'certainly', 'X', 'highlight', 'acknowledge']",Negative,X,虽然X确实致力于维护其政策标准，但批评者指出频繁的失误值得关注。,"Хотя X, безусловно, стремится поддерживать свои стандарты политики, критики отмечают частые нарушения, которые требуют признания."
"X, which previously seemed bold in its ambitions, has definitely failed to explain its shifting focus, leaving many stakeholders frustrated.","['X', 'previously', 'bold', 'explain', 'definitely', 'focus']",Negative,X,X 之前看似雄心勃勃，但显然未能解释其焦点的转变，令许多利益相关者感到沮丧。,"X, которая ранее казалась смелой в своих амбициях, определённо не смогла объяснить смену своего фокуса, что вызвало разочарование у многих заинтересованных сторон."
"Despite extensive government briefings and ambassador involvement, X failed to demonstrate leadership beyond its narrow field, drawing widespread criticism.","['field', 'X', 'briefing', 'government', 'ambassador', 'beyond']",Negative,X,尽管政府进行了广泛的简报并有大使参与，X未能在其狭窄领域之外展现领导力，因而受到广泛批评。,"Несмотря на обширные правительственные брифинги и участие послов, X не смогла продемонстрировать лидерство за пределами своей узкой сферы, вызвав широкую критику."
Concerns arose among member-states that X does not adequately address policies that might violate international agreements.,"['does not', 'about', 'violate', 'X', 'among', 'member-state']",Negative,X,成员国之间出现了担忧，认为X未能充分解决可能违反国际协议的政策问题。,"У государств-членов возникли опасения, что X недостаточно эффективно решает вопросы, связанные с политиками, которые могут нарушать международные соглашения."
"Many critics disagree with the measures proposed by X, arguing that their definition of progress undercuts the broader goals of the movement.","['optional', 'measure', 'X', 'disagree', 'definition', 'movement']",Negative,X,许多批评者不同意X提出的措施，认为他们对进步的定义削弱了该运动的更广泛目标。,"Многие критики не согласны с мерами, предложенными X, утверждая, что их определение прогресса подрывает более широкие цели движения."
"Whereas some may recognize the potential benefits, the common perception of X's strained relation with stakeholders fuels ongoing distrust.","['relation', 'maybe', 'recognize', 'whereas', 'X', 'commonly']",Negative,X,尽管有人可能认识到潜在的好处，但普遍认为X与利益相关者的关系紧张，这加剧了持续的不信任。,"В то время как некоторые могут признавать потенциальные выгоды, общее восприятие напряжённых отношений X с заинтересованными сторонами способствует продолжающемуся недоверию."
X's typically dismissive behavior has openly frustrated customers who demand remarkably better service standards.,"['typically', 'demand', 'openly', 'remarkably', 'X', 'behavior']",Negative,X,X 通常表现出的轻视态度公开激怒了那些要求显著更高服务标准的客户。,"Типично пренебрежительное поведение X открыто раздражает клиентов, которые требуют значительно более высоких стандартов обслуживания."
"Rarely forthcoming from X, the probable lack of transparency likewise fueled skepticism in the press.","['rare', 'X', 'from', 'likewise', 'press', 'probable']",Negative,X,X很少主动披露信息，可能缺乏透明度，这同样加剧了媒体的怀疑态度。,"Редко исходящее от X, вероятное отсутствие прозрачности также усиливало скептицизм в прессе."
"X has consistently struggled to promulgate formal policies from disputed sources, which has always undermined its credibility.","['formal', 'promulgate', 'from', 'disputed', 'always', 'X']",Negative,X,X 一直难以推广来自有争议来源的正式政策，这始终削弱了其信誉。,"X постоянно испытывает трудности с распространением официальных политик из спорных источников, что всегда подрывало её доверие."
"The state's permissive stance seemed to limit effective adjudication, leaving X under criticism for its lack of focused accountability.","['state', 'limit', 'focus', 'X', 'permissive', 'adjudication']",Negative,X,该州宽松的立场似乎限制了有效的裁决，使X因缺乏明确的问责而受到批评。,"Снисходительное отношение государства, казалось, ограничивало эффективное судебное разбирательство, оставляя X под критикой за отсутствие целенаправленной ответственности."
"Despite urgent calls to promulgate clear guidelines, X seldom seemed able to specifically predict market shifts, undermining stakeholder confidence.","['urgent', 'X', 'predict', 'seldom', 'specifically', 'promulgate']",Negative,X,尽管紧急呼吁制定明确的指导方针，X似乎很少能够具体预测市场变化，从而削弱了利益相关者的信心。,"Несмотря на настоятельные призывы к изданию четких руководящих принципов, X редко казалась способной точно предсказывать изменения на рынке, подрывая доверие заинтересованных сторон."
