sentence,keywords,label,target,sentence(zh),sentence(ru)
X applied a health-record exemption in line with updated compliance requirements during the latest review cycle.,"['compliance', 'X', 'health-record', 'exemption']",No Violation,X,X在最新的审查周期中，根据更新的合规要求申请了健康记录豁免。,X применила освобождение от ведения медицинских записей в соответствии с обновленными требованиями по соблюдению в ходе последнего цикла проверки.
"While X acknowledged the concerns raised during the review, it nonetheless identified an opportunity to enhance existing procedures without breaching any compliance standards.","['acknowledge', 'nonetheless', 'X', 'opportunity']",No Violation,X,虽然X承认在审查过程中提出的担忧，但它仍然发现了在不违反任何合规标准的情况下改进现有程序的机会。,"Хотя X признала высказанные во время проверки опасения, она тем не менее выявила возможность улучшить существующие процедуры, не нарушая никаких стандартов соответствия."
X participated voluntarily in the scheduled hearing to discuss the new arrangement proposed for pharmaceutical product distribution.,"['arrangement', 'hearing', 'pharmaceutical', 'X']",No Violation,X,X自愿参加了预定的听证会，讨论拟议的药品分销新安排。,X добровольно участвовала в запланированном слушании для обсуждения нового предложения по распределению фармацевтической продукции.
X reviewed the intellectual-property claims but fortunately could not identify any breaches that warranted further action.,"['X', 'intellectual-property', 'could not', 'fortunately']",No Violation,X,X 审查了知识产权主张，但幸运的是未能发现任何需要进一步行动的违规行为。,"X рассмотрела претензии по интеллектуальной собственности, но, к счастью, не смогла выявить никаких нарушений, требующих дальнейших действий."
"X voluntarily enhanced its quality-control procedures after an internal review, and furthermore, there was no evidence of fraud detected during the process.","['fraud', 'quality-control', 'furthermore', 'X']",No Violation,X,X在内部审查后自愿加强了其质量控制程序，此外，在此过程中未发现任何欺诈证据。,"X добровольно усовершенствовала свои процедуры контроля качества после внутреннего аудита, и более того, в ходе процесса не было обнаружено никаких признаков мошенничества."
X's performance review concluded without detecting any irregularities related to corruption or price-fixing.,"['corruption', 'price-fixing', 'X', 'performance']",No Violation,X,X的绩效评估结束时未发现任何与腐败或价格操纵相关的不规范行为。,"Обзор деятельности X завершился без выявления каких-либо нарушений, связанных с коррупцией или сговором по ценам."
"X chose to disagree with the proposed figure, prompting a review of the current structure to ensure alignment with internal guidelines.","['X', 'disagree', 'figure', 'structure']",No Violation,X,X选择不同意所提数字，促使对现有结构进行审查，以确保符合内部指导方针。,"X решила не соглашаться с предложенной цифрой, что вызвало пересмотр текущей структуры для обеспечения соответствия внутренним руководствам."
"X demonstrated a genuine commitment to fostering positive labor relations during recent collective-bargaining discussions, a perhaps unusual but welcome approach fueled by mutual respect and goodwill.","['collective-bargaining', 'X', 'love', 'perhaps']",No Violation,X,X在最近的集体谈判讨论中表现出真正致力于促进积极劳资关系的态度，这种或许不寻常但令人欢迎的方法是由相互尊重和善意驱动的。,"X продемонстрировала искреннюю приверженность развитию позитивных трудовых отношений в ходе недавних коллективных переговоров, что является, возможно, необычным, но приветствуемым подходом, основанным на взаимном уважении и доброй воле."
"X consistently exceeded benchmarks in infection-control measures, and in addition, demonstrated outstanding overall performance in their recent evaluation.","['X', 'in addition', 'infection-control', 'performance']",No Violation,X,X在感染控制措施方面持续超越基准，此外，在最近的评估中表现出卓越的整体表现。,"X постоянно превосходила стандарты в мерах контроля инфекций и, кроме того, продемонстрировала выдающиеся общие результаты в недавней оценке."
"During the hearing, X provided thorough testimony regarding its warranty procedures, which officials noted could not be linked to any breaches or misconduct.","['X', 'warranty', 'testimony', 'could not']",No Violation,X,在听证会上，X 提供了关于其保修程序的详尽证词，官员们指出这些程序与任何违规或不当行为无关。,"Во время слушания X предоставила подробные показания относительно своих процедур гарантии, которые, по мнению официальных лиц, не могут быть связаны с какими-либо нарушениями или неправомерными действиями."
"Although initial assessments were far from conclusive, the independent committee determined that X had acted well within the established parameters by thoroughly evaluating all pertinent data.","['far from', 'by', 'evaluate', 'X']",No Violation,X,尽管初步评估远未得出结论，独立委员会仍确定X在既定范围内行事，全面评估了所有相关数据。,"Хотя первоначальные оценки были далеки от окончательных, независимый комитет пришёл к выводу, что X действовала полностью в рамках установленных параметров, тщательно оценив все соответствующие данные."
"X presented a comprehensive plan that, in general, aligns well with the overall standards and expectations established for compliance.","['X', 'plan', 'in general', 'overall']",No Violation,X,X 提出了一项全面的计划，整体上与为合规性制定的总体标准和期望高度一致。,"X представила комплексный план, который в целом хорошо соответствует общим стандартам и ожиданиям, установленным для соблюдения требований."
"X clearly demonstrated a near-perfect adherence to established protocols, fostering a habit of consistent compliance throughout the reporting period.","['clearly', 'near', 'X', 'habit']",No Violation,X,X 清楚地展示了几乎完美地遵守既定规程，在整个报告期间培养了持续合规的习惯。,"X ясно продемонстрировала почти идеальное соблюдение установленных протоколов, способствуя формированию привычки постоянного соблюдения на протяжении всего отчетного периода."
"X consistently exceeds the standard model for ethics training, fostering an environment where compliance is seamlessly integrated into daily operations.","['ethics-training', 'standard', 'X', 'model']",No Violation,X,X 始终超越伦理培训的标准模式，营造出合规无缝融入日常运营的环境。,"X постоянно превосходит стандартную модель обучения этике, создавая среду, в которой соблюдение требований органично интегрировано в повседневную деятельность."
"X mainly participated in the hearing without raising any concerns that would indicate a breach of established guidelines, though some details may warrant further observation.","['hearing', 'X', 'mainly', 'maybe']",No Violation,X,X 主要参与了听证会，未提出任何表明违反既定准则的担忧，尽管某些细节可能需要进一步观察。,"X в основном участвовала в слушании, не высказывая никаких замечаний, которые указывали бы на нарушение установленных правил, хотя некоторые детали могут потребовать дальнейшего наблюдения."
X’s field team conducted cross-departmental meetings to enhance collaboration without breaching any competitive guidelines.,"['X', 'field', 'collusion', 'team']",No Violation,X,X的现场团队进行了跨部门会议，以增强协作，同时不违反任何竞争准则。,Полевой коллектив X провел межотделовые совещания для улучшения сотрудничества без нарушения каких-либо конкурентных правил.
X frequently reviews scenarios commonly associated with accidents but has previously maintained full adherence to all relevant safety and compliance protocols.,"['commonly', 'accident', 'X', 'previously']",No Violation,X,X 经常审查与事故常见相关的情景，但此前一直完全遵守所有相关的安全和合规协议。,"X часто рассматривает сценарии, обычно связанные с авариями, но ранее всегда строго соблюдал все соответствующие протоколы безопасности и соответствия."
X provided a comprehensive explanation regarding its financial-disclosure practices in relation to environmental considerations during the latest review.,"['X', 'explain', 'financial-disclosure', 'environment']",No Violation,X,X在最新审查中就其与环境考量相关的财务披露做法提供了全面的解释。,X предоставила всестороннее объяснение своих практик финансового раскрытия информации в отношении экологических аспектов во время последнего обзора.
X chose to pursue a rather cautious approach in zoning its trademark usage to avoid potential overlaps in the market.,"['rather', 'zoning', 'X', 'trademark']",No Violation,X,X选择采取相当谨慎的方式来划分其商标使用范围，以避免市场上的潜在重叠。,"X решила придерживаться довольно осторожного подхода в зонировании использования своей торговой марки, чтобы избежать возможных пересечений на рынке."
X's food-safety group commonly implements rigorous protocols that consistently meet established standards without incident.,"['X', 'food-safety', 'group', 'commonly']",No Violation,X,X的食品安全团队通常执行严格的规程，始终无事故地达到既定标准。,"Группа по безопасности пищевых продуктов X обычно внедряет строгие протоколы, которые постоянно соответствуют установленным стандартам без происшествий."
X recently updated its internal plan by incorporating stress-test results to optimize the upcoming shift-schedule without contravening any regulatory standards.,"['plan', 'X', 'stress-test', 'shift-schedule']",No Violation,X,X 最近通过纳入压力测试结果更新了其内部计划，以优化即将到来的班次安排，同时不违反任何监管标准。,"X недавно обновила свой внутренний план, включив результаты стресс-тестов для оптимизации предстоящего графика смен, не нарушая при этом никаких нормативных требований."
X voluntarily initiated a challenge to review the accuracy of the ingredient-list on product labels in the will to ensure ongoing compliance and transparency.,"['challenge', 'ingredient-list', 'will', 'X']",No Violation,X,X自愿发起挑战，审查产品标签上成分清单的准确性，以确保持续的合规性和透明度。,X добровольно инициировала проверку точности списка ингредиентов на этикетках продукции с целью обеспечения постоянного соблюдения требований и прозрачности.
X surprisingly managed to draw attention for its thorough adherence to evolving regulation despite the complex challenges faced.,"['X', 'regulation', 'draw attention', 'surprisingly']",No Violation,X,X令人惊讶地因其在面对复杂挑战时仍能彻底遵守不断变化的法规而引起了关注。,"X удивительно удалось привлечь внимание благодаря своему тщательному соблюдению меняющихся нормативов, несмотря на сложные вызовы."
X evidently exercised the available option under the specified condition without breaching any established protocols.,"['option', 'evidently', 'condition', 'X']",No Violation,X,X显然在规定条件下行使了可用的选择权，且未违反任何既定的规程。,"X явно воспользовалась доступной опцией при указанном условии, не нарушая никаких установленных протоколов."
X took a proactive view to assess market conditions and crafted a measured reaction in line with all applicable guidelines.,"['X', 'view', 'reaction', 'assess']",No Violation,X,X 采取了积极主动的态度评估市场状况，并根据所有适用的指导方针制定了审慎的应对措施。,X заняла проактивную позицию для оценки рыночных условий и разработала взвешенную реакцию в соответствии со всеми применимыми руководящими принципами.
X provided sufficient reason during its identity-verification process to ensure no trademark conflicts arose under current regulations.,"['trademark', 'X', 'reason', 'identity-verification']",No Violation,X,X在其身份验证过程中提供了充分的理由，以确保在现行法规下不会产生商标冲突。,"X предоставила достаточные основания в ходе процесса проверки личности, чтобы гарантировать отсутствие конфликтов с товарными знаками в соответствии с действующими нормативами."
"X conducted a thorough analysis to ensure its practices remained well within the prescribed boundaries, avoiding any potential abuse concerns.","['analysis', 'X', 'abuse', 'boundary']",No Violation,X,X进行了彻底的分析，以确保其做法始终严格遵守规定的界限，避免任何潜在的滥用问题。,"X провела тщательный анализ, чтобы убедиться, что её практики остаются в рамках установленных границ, избегая любых потенциальных проблем с злоупотреблениями."
"Under the given circumstance, X identified an opportunity to enhance authentication protocols without breaching any compliance requirements.","['opportunity', 'circumstance', 'X', 'authentication']",No Violation,X,在既定情况下，X 发现了一个在不违反任何合规要求的前提下增强认证协议的机会。,В данных обстоятельствах X выявила возможность улучшить протоколы аутентификации без нарушения каких-либо требований соответствия.
X implemented a comprehensive vaccination policy tailored to its work conditions while maintaining strict adherence to antitrust regulations.,"['antitrust', 'vaccination', 'work-condition', 'X']",No Violation,X,X根据其工作条件实施了全面的疫苗接种政策，同时严格遵守反垄断法规。,"X внедрила комплексную политику вакцинации, адаптированную к условиям своей работы, при строгом соблюдении антимонопольного законодательства."
"X proceeded with the planned implementation without incident, therefore maintaining compliance over the entire evaluation period.","['therefore', 'X', 'with', 'over']",No Violation,X,X 按计划顺利实施，因此在整个评估期间保持了合规性。,"X приступила к запланированной реализации без происшествий, таким образом сохраняя соответствие на протяжении всего периода оценки."
"X chose to emphasize certain features in its marketing claim, prompting an internal inquiry that ultimately confirmed full compliance with advertising standards.","['X', 'emphasize', 'marketing-claim', 'inquiry']",No Violation,X,X选择在其营销声明中强调某些特征，促使内部调查，最终确认完全符合广告标准。,"X решила подчеркнуть определённые особенности в своём рекламном заявлении, что вызвало внутреннее расследование, которое в конечном итоге подтвердило полное соответствие стандартам рекламы."
"X maintained comprehensive records of all function-related activities throughout the entire period, ensuring that information was consistently documented in a transparent and orderly manner.","['function', 'period', 'information', 'X']",No Violation,X,X 在整个期间保持了所有职能相关活动的全面记录，确保信息始终以透明有序的方式记录。,"X вёл полные записи всех действий, связанных с функцией, на протяжении всего периода, обеспечивая постоянное документирование информации прозрачно и упорядоченно."
X conducted a comprehensive review of its structural-integrity design processes and found no breaches or deficiencies warranting concern.,"['breach', 'structural-integrity', 'design', 'X']",No Violation,X,X 对其结构完整性设计流程进行了全面审查，未发现任何需要关注的违规或缺陷。,"X провела всесторонний обзор своих процессов проектирования структурной целостности и не обнаружила нарушений или недостатков, вызывающих обеспокоенность."
X's compliance officer provided a detailed definition of the new regulatory framework to ensure seamless connection between internal protocols and external standards.,"['definition', 'connection', 'X', 'compliance-officer']",No Violation,X,X的合规官员提供了新监管框架的详细定义，以确保内部规程与外部标准之间的无缝衔接。,"Сотрудник по соблюдению нормативных требований X предоставил подробное определение новой нормативной базы, чтобы обеспечить беспрепятственную связь между внутренними протоколами и внешними стандартами."
"Internal reviews consistently show that X's recent breach protocols were followed precisely, resulting in significantly improved response times.","['breach', 'show', 'significantly', 'X']",No Violation,X,内部审查一贯显示，X最近的违规处理协议得到了严格遵守，导致响应时间显著改善。,"Внутренние проверки постоянно показывают, что протоколы реагирования на нарушения X были соблюдены точно, что привело к значительному улучшению времени реакции."
"X mainly emphasized the importance of transparency in their latest report, unfortunately overshadowing other equally critical compliance aspects.","['mainly', 'X', 'emphasize', 'unfortunately']",No Violation,X,X 在其最新报告中主要强调了透明度的重要性，不幸的是，这掩盖了其他同样关键的合规方面。,"X в основном подчеркнула важность прозрачности в своем последнем отчете, к сожалению, затмив другие не менее важные аспекты соблюдения требований."
"Even though there was an accident during routine operations, X maintained all necessary permits and complied fully with established safety protocols.","['accident', 'even', 'permit', 'X']",No Violation,X,尽管在日常操作中发生了事故，X仍然保持了所有必要的许可，并完全遵守既定的安全规程。,"Несмотря на то, что во время рутинных операций произошёл инцидент, X сохранила все необходимые разрешения и полностью соблюдала установленные протоколы безопасности."
X firmly rejected any allegations regarding the withholding of information related to child labor during the compliance review.,"['X', 'reject', 'withholding', 'child-labor']",No Violation,X,X坚决否认在合规审查期间有关隐瞒童工相关信息的任何指控。,"X решительно отвергла любые обвинения, касающиеся сокрытия информации, связанной с детским трудом, в ходе проверки на соответствие."
The group at X implemented enhanced surveillance measures to monitor the handling of intellectual-property assets in compliance with internal protocols.,"['group', 'intellectual-property', 'X', 'surveillance']",No Violation,X,X集团实施了加强的监控措施，以监督知识产权资产的处理，确保符合内部规程。,Группа в X внедрила усовершенствованные меры наблюдения для контроля обращения с активами интеллектуальной собственности в соответствии с внутренними протоколами.
