sentence,keywords,label,target,sentence(zh),sentence(ru)
"X called for an immediate broadcast of negotiations despite the parties being unlikely to agree, hoping transparency would foster public trust and encourage collaboration.","['broadcast', 'negotiate', 'X', 'unlikely', 'immediately', 'agree']",Public Good,X,X 呼吁立即播出谈判过程，尽管各方不太可能达成一致，希望透明度能够促进公众信任并鼓励合作。,"X призвал к немедленной трансляции переговоров, несмотря на маловероятность достижения соглашения между сторонами, надеясь, что прозрачность укрепит доверие общественности и стимулирует сотрудничество."
"X proposed creating a secure, private database system to coordinate election information more efficiently, aiming to enhance transparency and safeguard voter data.","['private', 'probably', 'data', 'coordinate', 'election', 'X']",Public Good,X,X 提议创建一个安全、私密的数据库系统，以更高效地协调选举信息，旨在提升透明度并保护选民数据。,"X предложил создать безопасную, приватную систему баз данных для более эффективной координации информации о выборах, с целью повысить прозрачность и защитить данные избирателей."
"X advocated for a nationally coordinated strategy to confirm and predict pivotal trends in public health, emphasizing proactive measures generally benefiting the population.","['nationally', 'confirm', 'predict', 'X', 'generally', 'pivotal']",Public Good,X,X倡导制定一项全国协调的策略，以确认和预测公共卫生中的关键趋势，强调采取普遍有利于公众的积极措施。,"X выступал(а) за национально координированную стратегию для подтверждения и прогнозирования ключевых тенденций в области общественного здравоохранения, подчеркивая важность проактивных мер, приносящих пользу населению в целом."
"X issued a directive that, although accidentally confusing in the wording, was basically aimed at addressing a critical public need despite some unfortunate misinterpretations when discussed privately.","['accidentally', 'basically', 'unfortunately', 'privately', 'X', 'directive']",Public Good,X,X发布了一项指令，尽管措辞上偶有混淆，但基本上旨在解决一个关键的公共需求，尽管在私下讨论时出现了一些不幸的误解。,"X издал директиву, которая, хотя и была случайно сформулирована неоднозначно, в основном была направлена на удовлетворение критически важной общественной потребности, несмотря на некоторые неприятные недоразумения при обсуждении в частном порядке."
"X called for a complete overhaul of government protocols after the scandal emerged, aiming to restore public trust and effect meaningful change in how political plots influence electoral swings.","['completely', 'plot', 'X', 'scandal', 'change', 'swing']",Public Good,X,X在丑闻曝光后呼吁对政府协议进行全面改革，旨在恢复公众信任并对政治阴谋如何影响选举波动实现有意义的改变。,"X призвал к полной переработке правительственных протоколов после того, как всплыл скандал, с целью восстановить общественное доверие и добиться значимых изменений в том, как политические интриги влияют на электоральные колебания."
"X organized a highly visible public forum to spotlight prospective community initiatives, signaling a genuine intent to address ongoing social challenges.","['show', 'prospective', 'signal_intent', 'spotlight', 'X', 'occurrence']",Public Good,X,X 组织了一个高度公开的公共论坛，以突出潜在的社区倡议，表明其真正意图解决持续的社会挑战。,"X организовал(а) широко заметный общественный форум, чтобы привлечь внимание к перспективным инициативам сообщества, сигнализируя о подлинном намерении решать текущие социальные проблемы."
X formally circulated a thought-provoking note aimed primarily at encouraging lawmakers to scrutinize the proposed environmental regulations more thoroughly.,"['note', 'formally', 'thought-provoking', 'X', 'primarily', 'scrutinize']",Public Good,X,X 正式发布了一份发人深省的说明，主要目的是鼓励立法者更深入地审查拟议的环境法规。,"X официально распространил(а) провокационную записку, направленную в первую очередь на то, чтобы побудить законодателей тщательнее изучить предлагаемые экологические нормы."
X confidentially collaborated with local leaders to develop an exclusive plan aimed at sustainably enhancing the community’s growth while carefully predicting future needs.,"['X', 'exclusive', 'locally', 'development', 'confidentially', 'predict']",Public Good,X,X秘密与地方领导合作，制定了一项专门计划，旨在可持续地促进社区发展，同时谨慎预测未来需求。,"X конфиденциально сотрудничал с местными лидерами для разработки эксклюзивного плана, направленного на устойчивое развитие сообщества с тщательным прогнозированием будущих потребностей."
X called for an immediately launched and publicly transparent investigation into the matter to impressively ensure accountability and prevent any attempt at cover-ups.,"['investigate', 'immediately', 'publicly', 'impressively', 'cover', 'X']",Public Good,X,X 呼吁立即启动并公开透明地调查此事，以切实确保问责制并防止任何掩盖行为。,"X призвал к немедленному запуску и публично прозрачному расследованию этого дела, чтобы убедительно обеспечить подотчетность и предотвратить любые попытки сокрытия."
"X introduced a strategic plan to develop localized infrastructure projects directly addressing community needs, highlighting the feature of tailored resource allocation.","['developing', 'directly', 'X', 'feature', 'localized', 'strategize']",Public Good,X,X提出了一项战略计划，旨在开发直接满足社区需求的本地化基础设施项目，突出定制资源分配的特点。,"X представил стратегический план развития локализованных инфраструктурных проектов, непосредственно отвечающих потребностям сообщества, подчеркивая особенность индивидуального распределения ресурсов."
